SearchQueryText,user,action
highly restricted,user1@company.com,search
highlyrestricted*,user101@company.com,search
Highly Restricted,user2@company.com,search
HighlyRestricted*,user102@company.com,search
aba number,user3@company.com,search
abanumber*,user103@company.com,search
aba #,user4@company.com,search
aba#*,user104@company.com,search
abarouting#,user5@company.com,search
abarouting#*,user105@company.com,search
abaroutingnumber,user6@company.com,search
abaroutingnumber*,user106@company.com,search
acct nmb,user7@company.com,search
acctnmb*,user107@company.com,search
account number,user8@company.com,search
accountnumber*,user108@company.com,search
account no,user9@company.com,search
accountno*,user109@company.com,search
acct num,user10@company.com,search
acctnum*,user110@company.com,search
american express,user11@company.com,search
americanexpress*,user111@company.com,search
amex,user12@company.com,search
amex*,user112@company.com,search
atmcards,user13@company.com,search
atmcards*,user113@company.com,search
CDL#,user14@company.com,search
CDL#*,user114@company.com,search
Checking Account,user15@company.com,search
CheckingAccount*,user115@company.com,search
Checking Account #,user16@company.com,search
CheckingAccount#*,user116@company.com,search
Checking Account No.,user17@company.com,search
CheckingAccountNo.*,user117@company.com,search
checking acct number,user18@company.com,search
checkingacctnumber*,user118@company.com,search
cid,user19@company.com,search
DL#,user20@company.com,search
DLS#,user21@company.com,search
DLS#*,user121@company.com,search
Driver Lic,user22@company.com,search
DriverLic*,user122@company.com,search
Driver Lic#,user23@company.com,search
DriverLic#*,user123@company.com,search
Driver License,user24@company.com,search
DriverLicense*,user124@company.com,search
Driver License#,user25@company.com,search
DriverLicense#*,user125@company.com,search
Driver Licenses,user26@company.com,search
DriverLicenses*,user126@company.com,search
Drivers Licenses#,user27@company.com,search
DriversLicenses#*,user127@company.com,search
idcard,user28@company.com,search
idcard*,user128@company.com,search
idcard #,user29@company.com,search
idcard#*,user129@company.com,search
idcards #s,user30@company.com,search
idcards#s*,user130@company.com,search
idcard card,user31@company.com,search
idcardcard*,user131@company.com,search
idcard cards,user32@company.com,search
idcardcards*,user132@company.com,search
idcard cards#,user33@company.com,search
idcardcards#*,user133@company.com,search
idcard number,user34@company.com,search
idcardnumber*,user134@company.com,search
idcard numbers,user35@company.com,search
idcardnumbers*,user135@company.com,search
Identification Card,user36@company.com,search
IdentificationCard*,user136@company.com,search
identification card,user37@company.com,search
identificationcard*,user137@company.com,search
identificatino card#,user38@company.com,search
identificatinocard#*,user138@company.com,search
identification cards#,user39@company.com,search
identificationcards#*,user139@company.com,search
pii,user40@company.com,search
Pii,user41@company.com,search
PII,user42@company.com,search
restricted,user43@company.com,search
restricted*,user143@company.com,search
Restricted,user44@company.com,search
Restricted*,user144@company.com,search
